Forward Scatter Signal,Forward Scatter Pulse Width Signal,Side Scatter Signal,Side Fluorescence Signal
280,80,544,172
296,80,572,192
192,64,268,244
204,64,280,252
296,80,532,168
332,76,552,160
220,68,532,168
172,60,296,240
192,68,432,356
152,60,268,212
236,72,436,352
44,8,120,12
44,12,128,20
200,64,284,252
336,84,564,188
172,68,428,376
304,76,548,164
188,60,284,276
216,64,272,296
44,8,168,16
220,68,272,212
144,56,240,212
288,80,572,188
228,64,288,300
216,68,352,60
220,64,276,288
364,80,552,208
268,80,548,156
300,76,628,192
240,68,280,308
156,60,248,192
204,60,280,272
152,68,420,0
220,68,292,272
280,80,584,156
204,68,248,248
184,60,280,240
84,40,228,24
160,56,252,196
216,68,320,300
216,68,408,280
144,84,624,4
276,80,528,168
164,56,272,32
100,44,300,44
216,72,416,292
276,76,548,180
208,68,312,224
236,72,432,360
248,72,512,152
172,60,356,272
228,68,396,340
316,76,532,164
172,60,244,212
112,48,232,36
288,80,480,148
308,76,564,204
204,64,296,208
284,80,560,164
292,76,608,164
52,20,124,16
320,80,572,160
340,80,532,172
48,16,172,8
192,64,396,332
312,80,600,212
400,84,576,196
180,64,288,180
204,64,288,252
328,76,496,140
400,84,732,124
168,60,308,232
376,84,716,112
176,60,252,164
332,80,588,192
100,44,204,20
160,60,288,276
168,60,248,252
204,68,276,244
304,76,564,156
52,20,168,24
172,60,260,208
340,84,564,184
272,72,476,156
172,64,288,228
252,68,536,156
196,64,232,204
144,56,220,164
144,56,268,208
320,80,544,156
296,80,516,152
168,60,320,320
204,64,260,188
276,76,612,196
348,80,548,180
348,80,524,160
48,12,200,12
300,80,700,124
180,64,284,260
148,56,228,160
228,68,332,304
192,60,256,208
192,64,240,176
232,72,572,156
172,60,232,196
52,20,176,16
168,60,272,236
256,68,536,164
44,8,160,16
188,64,236,196
236,68,252,296
204,64,280,208
240,76,596,164
300,80,564,176
60,28,208,52
308,84,544,176
44,12,160,20
244,76,508,168
168,64,280,256
280,80,572,168
80,36,176,16
52,20,168,12
476,88,772,180
184,60,240,188
160,60,312,244
368,80,564,208
364,80,596,180
336,92,560,172
68,28,188,16
328,80,608,188
228,64,332,252
260,72,500,184
388,80,508,160
160,60,244,196
304,80,616,208
172,60,280,288
276,72,528,172
192,64,192,164
396,80,548,180
316,80,576,192
152,60,304,284
180,60,252,208
224,68,332,328
356,80,544,176
180,60,284,256
152,56,288,244
144,60,248,220
308,76,492,172
344,80,604,188
376,88,764,124
192,64,200,220
180,68,288,224
172,60,332,228
52,16,196,8
176,60,244,196
160,60,284,240
156,56,252,252
212,68,288,296
48,16,184,8
88,40,108,24
76,36,208,16
160,60,308,316
188,64,264,212
260,76,568,172
336,84,592,204
216,68,328,304
208,68,508,172
92,44,240,72
316,88,532,176
244,76,580,160
208,64,460,116
272,72,532,132
356,80,772,148
196,64,268,228
204,72,436,308
212,76,408,424
204,64,244,224
268,76,564,156
208,64,320,340
200,92,380,236
228,68,512,144
220,68,304,312
364,80,592,172
212,68,316,264
300,80,572,180
292,76,588,176
192,64,224,216
372,84,744,132
212,64,272,320
348,80,588,188
356,84,612,184
176,64,340,300
240,68,272,192
144,56,232,300
160,60,256,228
288,72,500,156
220,68,308,228
236,72,500,156
340,80,540,152
344,80,624,196
80,40,196,28
80,36,244,44
172,56,220,204
312,72,512,144
200,60,240,240
272,72,512,148
220,68,292,264
344,80,600,188
200,64,248,220
196,64,268,212
76,36,208,44
228,68,280,244
248,76,552,176
332,80,504,176
300,80,516,172
216,68,272,204
184,72,400,356
68,28,120,20
156,60,232,160
188,64,276,240
160,60,248,248
176,60,272,276
168,60,340,108
316,76,516,160
192,64,248,216
256,72,596,160
244,76,516,148
276,72,524,140
188,60,272,212
408,88,740,116
312,80,544,172
176,64,272,52
316,76,584,172
436,88,772,128
276,80,552,152
204,76,408,304
168,64,284,244
324,84,660,216
152,60,304,328
192,64,252,196
180,64,236,252
336,84,696,116
188,60,268,228
172,60,332,328
152,56,256,200
356,84,548,188
224,68,420,400
200,64,280,308
156,60,304,288
160,60,252,244
52,20,184,28
380,80,592,200
48,20,172,16
344,80,528,184
316,84,580,212
164,60,280,232
152,56,256,240
60,28,172,24
316,76,544,192
164,60,236,168
336,76,536,164
324,80,580,196
284,72,584,180
44,8,184,20
240,76,404,408
224,68,236,232
384,88,816,196
308,80,556,156
168,60,300,300
332,80,512,168
316,88,592,176
200,68,300,328
280,76,544,160
192,68,448,308
172,64,332,304
64,24,180,8
336,76,688,108
136,52,256,192
